client,client_type,task_type,priority,task_text
Client_1,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'change image'.
Client_22,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'relocate'.
Client_15,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'does not appear'.
Client_18,Neutral,Copy revision,High,Review and correct the client's text. Issue related to 'not responsive / does not adapt'.
Client_2,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'improve writing'.
Client_26,Neutral,Requested change,High,The client requested a specific change. Issue related to 'misconfigured'.
Client_37,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'align'.
Client_25,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'improve writing'.
Client_6,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'lost'.
Client_15,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'change color'.
Client_21,Growth,Requested change,Normal,The client requested a specific change. Issue related to 'change button'.
Client_32,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change color'.
Client_6,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'improve writing'.
Client_5,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'error'.
Client_25,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'cuts off'.
Client_29,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'does not appear'.
Client_12,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'does not appear'.
Client_23,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'move'.
Client_19,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'increase space'.
Client_37,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'blocks'.
Client_20,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'lost'.
Client_18,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'center'.
Client_17,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'reduce size'.
Client_30,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'does not respond'.
Client_22,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'add word'.
Client_29,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'broken / is broken'.
Client_31,Retention,New item,Low,A new resource needs to be created from scratch. Issue related to 'simplify'.
Client_32,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'improve visibility'.
Client_26,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'bug'.
Client_36,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'rewrite'.
Client_29,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'content adjustment'.
Client_27,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'increase space'.
Client_17,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change location'.
Client_29,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'spacing'.
Client_27,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'change location'.
Client_7,Neutral,Requested change,High,The client requested a specific change. Issue related to 'not visible'.
Client_37,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'add word'.
Client_28,Growth,Copy revision,High,Review and correct the client's text. Issue related to 'incomplete'.
Client_34,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not respond'.
Client_30,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'move'.
Client_31,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'spelling'.
Client_8,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'align'.
Client_30,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'replace'.
Client_29,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'delete'.
Client_3,Neutral,Copy revision,Urgent,Review and correct the client's text. Issue related to 'not responsive / does not adapt'.
Client_7,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'improve writing'.
Client_16,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'lost'.
Client_30,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'adjust'.
Client_28,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'lost'.
Client_25,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'does not appear'.
Client_37,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'broken / is broken'.
Client_30,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'align'.
Client_39,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not allow to continue'.
Client_23,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'improve writing'.
Client_20,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'align'.
Client_8,Growth,Copy revision,High,Review and correct the client's text. Issue related to 'error'.
Client_33,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'lost'.
Client_12,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'urgent'.
Client_19,Growth,Requested change,Normal,The client requested a specific change. Issue related to 'relocate'.
Client_23,Neutral,New item,High,A new resource needs to be created from scratch. Issue related to 'does not respond'.
Client_36,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'urgent'.
Client_27,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change location'.
Client_37,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'blocks'.
Client_15,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'reorder'.
Client_36,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'does not allow to continue'.
Client_35,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'modify text'.
Client_35,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'misconfigured'.
Client_20,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'center'.
Client_6,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'increase space'.
Client_14,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'alt text'.
Client_28,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'reduce size'.
Client_4,Retention,Requested change,High,The client requested a specific change. Issue related to 'bug'.
Client_21,Neutral,Requested change,High,The client requested a specific change. Issue related to 'blocks'.
Client_33,Neutral,Copy revision,High,Review and correct the client's text. Issue related to 'lost'.
Client_4,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'tone'.
Client_16,Growth,Requested change,Normal,The client requested a specific change. Issue related to 'change color'.
Client_32,Growth,Requested change,High,The client requested a specific change. Issue related to 'does not respond'.
Client_29,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'improve visibility'.
Client_24,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not work'.
Client_6,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'center'.
Client_5,Neutral,New item,High,A new resource needs to be created from scratch. Issue related to 'lost'.
Client_14,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'align'.
Client_36,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'relocate'.
Client_3,Growth,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'bug'.
Client_29,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'error'.
Client_20,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'does not allow to continue'.
Client_17,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'cuts off'.
Client_15,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'move'.
Client_14,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'incomplete'.
Client_29,Growth,Requested change,Normal,The client requested a specific change. Issue related to 'change image'.
Client_9,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not load'.
Client_7,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'error'.
Client_10,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'adjust'.
Client_29,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'update'.
Client_27,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change location'.
Client_7,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'change color'.
Client_23,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'rewrite'.
Client_18,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'cuts off'.
Client_2,Neutral,Requested change,High,The client requested a specific change. Issue related to 'incomplete'.
Client_13,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'increase space'.
Client_32,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not appear'.
Client_34,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'add word'.
Client_9,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'bug'.
Client_31,Neutral,Copy revision,Urgent,Review and correct the client's text. Issue related to 'does not appear'.
Client_1,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'content adjustment'.
Client_26,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not respond'.
Client_6,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'cuts off'.
Client_6,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'tone'.
Client_35,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'lost'.
Client_16,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'spelling'.
Client_30,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'bug'.
Client_8,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'adjust'.
Client_32,Neutral,Requested change,High,The client requested a specific change. Issue related to 'error'.
Client_18,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'change text'.
Client_22,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'improve visibility'.
Client_37,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not allow to continue'.
Client_4,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'blocks'.
Client_7,Neutral,Copy revision,High,Review and correct the client's text. Issue related to 'incomplete'.
Client_1,Growth,Copy revision,High,Review and correct the client's text. Issue related to 'urgent'.
Client_24,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'not visible'.
Client_36,Neutral,New item,High,A new resource needs to be created from scratch. Issue related to 'misconfigured'.
Client_27,Neutral,Requested change,High,The client requested a specific change. Issue related to 'does not appear'.
Client_37,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'incomplete'.
Client_3,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'text style'.
Client_19,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'change button'.
Client_1,Retention,Requested change,High,The client requested a specific change. Issue related to 'cuts off'.
Client_40,Growth,Requested change,High,The client requested a specific change. Issue related to 'urgent'.
Client_13,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'lost'.
Client_2,Growth,Requested change,High,The client requested a specific change. Issue related to 'does not work'.
Client_22,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'improve writing'.
Client_20,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'not visible'.
Client_10,Neutral,Copy revision,Urgent,Review and correct the client's text. Issue related to 'misconfigured'.
Client_34,Retention,Requested change,High,The client requested a specific change. Issue related to 'does not appear'.
Client_38,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not respond'.
Client_5,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'error'.
Client_16,Growth,Requested change,Low,The client requested a specific change. Issue related to 'remove phrase'.
Client_21,Retention,Requested change,High,The client requested a specific change. Issue related to 'broken / is broken'.
Client_9,Neutral,Copy revision,High,Review and correct the client's text. Issue related to 'bug'.
Client_29,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'does not allow to continue'.
Client_14,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not load'.
Client_6,Growth,Requested change,Normal,The client requested a specific change. Issue related to 'relocate'.
Client_14,Neutral,Requested change,High,The client requested a specific change. Issue related to 'misconfigured'.
Client_23,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'improve visibility'.
Client_12,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'copy'.
Client_36,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'error'.
Client_8,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'does not respond'.
Client_24,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'blocks'.
Client_5,Growth,Copy revision,High,Review and correct the client's text. Issue related to 'critical'.
Client_9,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'critical'.
Client_4,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'remove phrase'.
Client_32,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'broken / is broken'.
Client_12,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'change text'.
Client_40,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'reorder'.
Client_27,Neutral,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'blocks'.
Client_25,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'incomplete'.
Client_16,Retention,Copy revision,Low,Review and correct the client's text. Issue related to 'content adjustment'.
Client_23,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'incomplete'.
Client_21,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'misconfigured'.
Client_2,Neutral,Requested change,Urgent,The client requested a specific change. Issue related to 'urgent'.
Client_34,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'spelling'.
Client_16,Retention,Requested change,High,The client requested a specific change. Issue related to 'not visible'.
Client_15,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'bug'.
Client_12,Growth,Requested change,Normal,The client requested a specific change. Issue related to 'center'.
Client_38,Growth,Requested change,Low,The client requested a specific change. Issue related to 'alt text'.
Client_10,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'reorder'.
Client_35,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'not visible'.
Client_15,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'does not work'.
Client_22,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'add word'.
Client_12,Neutral,Requested change,Urgent,The client requested a specific change. Issue related to 'error'.
Client_38,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'text style'.
Client_34,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'change color'.
Client_38,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'bug'.
Client_28,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'adjust'.
Client_36,Retention,Requested change,High,The client requested a specific change. Issue related to 'bug'.
Client_25,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'does not work'.
Client_37,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'not responsive / does not adapt'.
Client_40,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'tone'.
Client_22,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'align'.
Client_11,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'align'.
Client_29,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'does not appear'.
Client_23,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'change text'.
Client_25,Retention,New item,Low,A new resource needs to be created from scratch. Issue related to 'remove phrase'.
Client_32,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'replace'.
Client_31,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not appear'.
Client_3,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'does not load'.
Client_5,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'does not appear'.
Client_36,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'reorder'.
Client_2,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change image'.
Client_11,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'broken / is broken'.
Client_27,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'delete'.
Client_16,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'reorder'.
Client_10,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'delete'.
Client_39,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'bug'.
Client_19,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'simplify'.
Client_26,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'does not respond'.
Client_12,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'critical'.
Client_3,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'blocks'.
Client_37,Growth,Copy revision,Urgent,Review and correct the client's text. Issue related to 'does not allow to continue'.
Client_35,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not respond'.
Client_34,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'misconfigured'.
Client_31,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'improve writing'.
Client_3,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'critical'.
Client_12,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'content adjustment'.
Client_13,Growth,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'lost'.
Client_13,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'simplify'.
Client_21,Neutral,Copy revision,Urgent,Review and correct the client's text. Issue related to 'does not respond'.
Client_36,Retention,Requested change,High,The client requested a specific change. Issue related to 'does not work'.
Client_40,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'error'.
Client_10,Retention,Copy revision,Low,Review and correct the client's text. Issue related to 'alt text'.
Client_7,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'simplify'.
Client_25,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'blocks'.
Client_26,Growth,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'not responsive / does not adapt'.
Client_16,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'add word'.
Client_2,Retention,Requested change,High,The client requested a specific change. Issue related to 'urgent'.
Client_7,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'critical'.
Client_21,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change location'.
Client_13,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'spacing'.
Client_24,Neutral,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'incomplete'.
Client_26,Growth,Copy revision,High,Review and correct the client's text. Issue related to 'broken / is broken'.
Client_4,Growth,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'does not allow to continue'.
Client_13,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'replace'.
Client_2,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'adjust'.
Client_31,Retention,Requested change,High,The client requested a specific change. Issue related to 'blocks'.
Client_6,Growth,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'broken / is broken'.
Client_15,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'lost'.
Client_33,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'update'.
Client_12,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'cuts off'.
Client_18,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change button'.
Client_17,Growth,Requested change,High,The client requested a specific change. Issue related to 'does not respond'.
Client_38,Growth,Requested change,High,The client requested a specific change. Issue related to 'cuts off'.
Client_20,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'blocks'.
Client_21,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'delete'.
Client_13,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change color'.
Client_21,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'delete'.
Client_17,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'relocate'.
Client_38,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'increase space'.
Client_35,Retention,New item,Low,A new resource needs to be created from scratch. Issue related to 'fix style'.
Client_23,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'adjust'.
Client_19,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'adjust'.
Client_22,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'cuts off'.
Client_27,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'delete'.
Client_30,Neutral,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'does not appear'.
Client_31,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'remove phrase'.
Client_34,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'tone'.
Client_9,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'change button'.
Client_10,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'reorder'.
Client_22,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'not visible'.
Client_1,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'adjust'.
Client_37,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'content adjustment'.
Client_6,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change color'.
Client_28,Neutral,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'broken / is broken'.
Client_24,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'copy'.
Client_13,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'increase space'.
Client_15,Retention,Requested change,High,The client requested a specific change. Issue related to 'does not load'.
Client_25,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'not visible'.
Client_20,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'alt text'.
Client_34,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'urgent'.
Client_23,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'content adjustment'.
Client_26,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'update'.
Client_14,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'not visible'.
Client_25,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'alt text'.
Client_4,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'move'.
Client_4,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not load'.
Client_36,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'does not work'.
Client_20,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'improve visibility'.
Client_40,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not load'.
Client_33,Neutral,Copy revision,High,Review and correct the client's text. Issue related to 'does not load'.
Client_32,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'spacing'.
Client_13,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'not visible'.
Client_36,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'reorder'.
Client_22,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'replace'.
Client_37,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'content adjustment'.
Client_33,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'fix style'.
Client_15,Retention,Requested change,High,The client requested a specific change. Issue related to 'not visible'.
Client_7,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'add word'.
Client_21,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'not visible'.
Client_1,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change button'.
Client_40,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'align'.
Client_12,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'simplify'.
Client_25,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'adjust'.
Client_8,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'text style'.
Client_11,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'fix style'.
Client_29,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'alt text'.
Client_2,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'reorder'.
Client_8,Neutral,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'blocks'.
Client_21,Growth,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'fix style'.
Client_22,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'misconfigured'.
Client_31,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'not visible'.
Client_1,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'urgent'.
Client_32,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'add word'.
Client_16,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'misconfigured'.
Client_36,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change location'.
Client_30,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'urgent'.
Client_29,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'move'.
Client_7,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'does not work'.
Client_6,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'copy'.
Client_14,Retention,New item,Low,A new resource needs to be created from scratch. Issue related to 'add word'.
Client_4,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'reorder'.
Client_24,Neutral,Copy revision,Urgent,Review and correct the client's text. Issue related to 'misconfigured'.
Client_1,Retention,Requested change,High,The client requested a specific change. Issue related to 'does not allow to continue'.
Client_7,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'lost'.
Client_7,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'does not respond'.
Client_14,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'replace'.
Client_27,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'modify text'.
Client_30,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'change text'.
Client_34,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'modify text'.
Client_33,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'adjust'.
Client_9,Growth,Requested change,High,The client requested a specific change. Issue related to 'does not respond'.
Client_27,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'not responsive / does not adapt'.
Client_19,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'incomplete'.
Client_20,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'copy'.
Client_14,Growth,Requested change,High,The client requested a specific change. Issue related to 'error'.
Client_12,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'center'.
Client_36,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'delete'.
Client_28,Neutral,Copy revision,Urgent,Review and correct the client's text. Issue related to 'error'.
Client_4,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'bug'.
Client_19,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'delete'.
Client_14,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'change button'.
Client_7,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change color'.
Client_16,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'relocate'.
Client_25,Retention,Requested change,Low,The client requested a specific change. Issue related to 'change text'.
Client_1,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change button'.
Client_15,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'copy'.
Client_39,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'bug'.
Client_5,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'replace'.
Client_25,Growth,Requested change,High,The client requested a specific change. Issue related to 'error'.
Client_11,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'critical'.
